id,category,name,alias,carb_g_per_100g,protein_g_per_100g,fat_g_per_100g,kcal_per_100g_calc,serving_g,kcal_per_serving_calc
F001,01 谷薯杂豆·主食,大米（粳米，生）,白米、东北大米,77.9,7.4,0.8,348,75,261
F002,01 谷薯杂豆·主食,米饭（蒸，粳米）,白米饭,25.9,2.6,0.3,117,150,176
F003,01 谷薯杂豆·主食,糙米（生）,,74.3,7.7,2.6,351,75,263
F004,01 谷薯杂豆·主食,黑米（生）,,72.2,9.4,2.5,349,75,262
F005,01 谷薯杂豆·主食,糯米（生）,江米,78.3,7.3,1.0,351,75,263
F006,01 谷薯杂豆·主食,小米,粟米,75.1,9.0,3.1,364,50,182
F007,01 谷薯杂豆·主食,燕麦片,即食燕麦,61.0,15.0,6.7,364,40,146
F008,01 谷薯杂豆·主食,藜麦,,64.2,14.1,6.1,368,50,184
F009,01 谷薯杂豆·主食,荞麦,,66.5,9.3,2.3,324,60,194
F010,01 谷薯杂豆·主食,荞麦面（干）,,70.0,11.0,1.5,338,100,338
F011,01 谷薯杂豆·主食,薏米（薏苡仁）,,71.1,12.8,3.3,365,40,146
F012,01 谷薯杂豆·主食,小麦粉（标准粉）,中筋面粉,73.6,11.2,1.5,353,100,353
F013,01 谷薯杂豆·主食,全麦粉,,71.0,12.0,2.0,350,100,350
F014,01 谷薯杂豆·主食,挂面（生）,,74.5,11.4,0.9,352,100,352
F015,01 谷薯杂豆·主食,面条（煮，小麦粉）,汤面,24.3,2.7,0.2,110,200,220
F016,01 谷薯杂豆·主食,馒头（蒸，标准粉）,,47.0,7.0,1.1,226,100,226
F017,01 谷薯杂豆·主食,花卷,,45.0,6.4,1.0,215,100,215
F018,01 谷薯杂豆·主食,面包（均值）,吐司,50.6,8.3,5.1,282,80,226
F019,01 谷薯杂豆·主食,全麦面包,,45.0,10.5,3.3,252,80,202
F020,01 谷薯杂豆·主食,玉米（鲜，甜玉米）,甜玉米,22.8,4.0,1.2,118,150,177
F021,01 谷薯杂豆·主食,玉米面,,69.6,8.1,3.3,340,60,204
F022,01 谷薯杂豆·主食,红薯（甘薯）,地瓜,24.7,1.1,0.2,105,150,158
F023,01 谷薯杂豆·主食,紫薯,,24.0,1.6,0.2,104,150,156
F024,01 谷薯杂豆·主食,马铃薯（土豆）,,17.2,2.0,0.2,79,150,118
F025,01 谷薯杂豆·主食,山药,,12.4,1.9,0.2,59,150,88
F026,01 谷薯杂豆·主食,芋头,,18.1,2.2,0.2,83,120,100
F027,01 谷薯杂豆·主食,方便面,,60.9,9.5,21.1,472,100,472
F028,01 谷薯杂豆·主食,油条,,51.0,6.9,17.6,390,60,234
F029,01 谷薯杂豆·主食,绿豆（干）,,62.0,21.6,0.8,342,50,171
F030,01 谷薯杂豆·主食,赤小豆（红豆，干）,,63.4,20.2,0.6,340,50,170
F031,02 畜禽肉及制品,猪肉（瘦）,,1.5,20.3,6.2,143,100,143
F032,02 畜禽肉及制品,猪肉（肥瘦，均值）,,2.4,13.2,37.0,395,100,395
F033,02 畜禽肉及制品,猪里脊,,0.7,20.2,7.9,155,100,155
F034,02 畜禽肉及制品,猪五花肉,,2.2,7.7,35.3,357,80,286
F035,02 畜禽肉及制品,猪排骨,,0.7,16.7,23.1,278,120,334
F036,02 畜禽肉及制品,猪蹄,,0.0,22.6,18.8,260,100,260
F037,02 畜禽肉及制品,猪肝,,5.0,19.3,3.5,129,80,103
F038,02 畜禽肉及制品,猪血,血豆腐,0.1,12.2,0.3,52,100,52
F039,02 畜禽肉及制品,牛肉（瘦）,,1.2,20.2,2.3,106,100,106
F040,02 畜禽肉及制品,牛肉（肥瘦，均值）,,1.7,19.9,4.2,124,100,124
F041,02 畜禽肉及制品,牛腩,,0.0,17.1,15.8,211,100,211
F042,02 畜禽肉及制品,牛肚,,0.0,14.5,1.6,72,100,72
F043,02 畜禽肉及制品,羊肉（瘦）,,0.8,20.5,3.9,120,100,120
F044,02 畜禽肉及制品,羊肉（肥瘦，均值）,,1.5,19.0,14.1,209,100,209
F045,02 畜禽肉及制品,鸡肉（均值）,,1.3,19.3,9.4,167,100,167
F046,02 畜禽肉及制品,鸡胸脯肉,鸡胸肉,2.5,19.4,5.0,133,120,160
F047,02 畜禽肉及制品,鸡腿,,0.0,16.0,13.0,181,100,181
F048,02 畜禽肉及制品,鸡翅,,2.3,17.4,11.8,185,80,148
F049,02 畜禽肉及制品,鸡胗,,0.0,17.7,2.1,90,80,72
F050,02 畜禽肉及制品,鸭肉,,0.2,15.5,19.7,240,100,240
F051,02 畜禽肉及制品,鹅肉,,0.0,17.9,19.9,251,100,251
F052,02 畜禽肉及制品,火腿肠,,6.0,14.0,10.4,174,60,104
F053,02 畜禽肉及制品,香肠,,5.9,24.0,40.7,486,50,243
F054,02 畜禽肉及制品,培根,,2.6,22.3,9.0,181,40,72
F055,02 畜禽肉及制品,午餐肉,,5.5,9.4,15.9,203,60,122
F056,03 蛋奶及制品,鸡蛋（均值）,,2.8,13.3,8.8,144,50,72
F057,03 蛋奶及制品,鸡蛋清,蛋白,3.1,11.6,0.1,60,33,20
F058,03 蛋奶及制品,鸡蛋黄,蛋黄,3.4,15.2,28.2,328,17,56
F059,03 蛋奶及制品,鸭蛋,,3.1,12.6,13.0,180,60,108
F060,03 蛋奶及制品,鹌鹑蛋,,2.1,12.8,11.1,160,30,48
F061,03 蛋奶及制品,咸鸭蛋,,6.0,12.7,12.7,189,60,113
F062,03 蛋奶及制品,皮蛋（松花蛋）,,4.5,13.5,10.6,167,55,92
F063,03 蛋奶及制品,牛奶（均值）,纯牛奶,3.4,3.0,3.2,54,250,135
F064,03 蛋奶及制品,脱脂牛奶,,5.0,3.4,0.3,36,250,90
F065,03 蛋奶及制品,酸奶（全脂）,,9.3,2.5,2.7,72,150,108
F066,03 蛋奶及制品,无糖酸奶,,4.5,3.5,3.2,61,150,92
F067,03 蛋奶及制品,奶酪（干酪）,芝士,3.5,25.7,23.5,328,20,66
F068,03 蛋奶及制品,全脂奶粉,,38.6,20.1,21.2,426,25,106
F069,03 蛋奶及制品,再制乳酪（片）,芝士片,5.0,15.0,20.0,260,20,52
F070,04 水产及制品,草鱼,,0.0,16.6,5.2,113,120,136
F071,04 水产及制品,鲤鱼,,0.5,17.6,4.1,109,120,131
F072,04 水产及制品,鲈鱼,,0.0,18.6,3.4,105,120,126
F073,04 水产及制品,带鱼,,0.0,17.7,4.9,115,100,115
F074,04 水产及制品,小黄鱼,黄花鱼,0.0,17.9,3.0,99,100,99
F075,04 水产及制品,三文鱼,大马哈鱼,0.0,17.2,7.8,139,100,139
F076,04 水产及制品,鳕鱼,,0.0,16.5,0.4,70,120,84
F077,04 水产及制品,金枪鱼,,0.0,23.6,4.9,138,100,138
F078,04 水产及制品,秋刀鱼,,0.0,18.9,14.5,206,100,206
F079,04 水产及制品,巴沙鱼,,0.0,15.0,3.0,87,120,104
F080,04 水产及制品,对虾,,0.0,18.6,0.8,82,100,82
F081,04 水产及制品,基围虾,,0.0,18.2,1.4,85,100,85
F082,04 水产及制品,虾仁,,0.0,18.0,0.6,77,80,62
F083,04 水产及制品,河蟹,大闸蟹,1.1,17.5,2.6,98,100,98
F084,04 水产及制品,海蟹,,0.0,13.8,2.3,76,100,76
F085,04 水产及制品,扇贝,,3.1,11.1,0.6,62,80,50
F086,04 水产及制品,牡蛎（生蚝）,,4.9,5.3,2.1,60,100,60
F087,04 水产及制品,蛤蜊,花蛤,2.8,10.1,1.1,61,150,92
F088,04 水产及制品,鱿鱼,,0.0,17.0,1.4,81,100,81
F089,04 水产及制品,海参（水发）,,0.0,6.0,0.1,25,80,20
F090,05 大豆及制品,黄豆（大豆）,,34.2,35.0,16.0,421,40,168
F091,05 大豆及制品,黑豆,,33.6,36.0,15.9,422,40,169
F092,05 大豆及制品,豆腐（北）,老豆腐,2.8,12.2,4.8,103,150,154
F093,05 大豆及制品,豆腐（南）,嫩豆腐,2.6,6.2,2.5,58,150,87
F094,05 大豆及制品,内酯豆腐,盒豆腐,2.0,5.0,1.9,45,150,68
F095,05 大豆及制品,豆腐干,香干,6.7,16.2,3.6,124,60,74
F096,05 大豆及制品,千张（豆腐皮）,,5.5,24.5,16.0,264,60,158
